0.680, 0.697, 0.691, 0.797, 0.000, 0.000
0.545, 0.698, 0.690, 1.000, 0.000
0.382, 0.699, 0.691, 1.000, 0.000
0.189, 0.700, 0.694, 1.000, 0.000
0.053, 0.693, 0.704, 1.000, 0.484
0.015, 0.682, 0.719, 1.000, 1.000
0.005, 0.669, 0.744, 1.000, 1.000
0.002, 0.651, 0.784, 1.000, 1.000
0.003, 0.625, 0.852, 1.000, 1.000
0.004, 0.574, 0.995, 1.000, 1.000
0.010, 0.455, 1.317, 1.000, 1.000
0.040, 0.357, 1.606, 1.000, 1.000
0.000, 0.209, 2.490, 1.000, 1.000
0.007, 0.079, 3.335, 1.000, 1.000
0.006, 0.042, 3.784, 1.000, 1.000
0.000, 0.023, 4.348, 1.000, 1.000
0.000, 0.013, 4.810, 1.000, 1.000
0.000, 0.009, 5.186, 1.000, 1.000
0.000, 0.006, 5.552, 1.000, 1.000
0.000, 0.004, 5.839, 1.000, 1.000
0.000, 0.003, 6.093, 1.000, 1.000
0.000, 0.002, 6.291, 1.000, 1.000
0.000, 0.002, 6.438, 1.000, 1.000
0.000, 0.002, 6.588, 1.000, 1.000
0.000, 0.001, 6.820, 1.000, 1.000
0.000, 0.001, 7.055, 1.000, 1.000
0.000, 0.001, 7.187, 1.000, 1.000
0.000, 0.001, 7.198, 1.000, 1.000
0.000, 0.001, 7.291, 1.000, 1.000
0.000, 0.001, 7.312, 1.000, 1.000
0.000, 0.001, 7.367, 1.000, 1.000
0.000, 0.001, 7.466, 1.000, 1.000
0.000, 0.001, 7.441, 1.000, 1.000
0.000, 0.001, 7.534, 1.000, 1.000
0.000, 0.001, 7.581, 1.000, 1.000
0.000, 0.001, 7.624, 1.000, 1.000
0.000, 0.000, 7.745, 1.000, 1.000
0.000, 0.000, 7.770, 1.000, 1.000
0.000, 0.000, 7.846, 1.000, 1.000
0.000, 0.000, 7.890, 1.000, 1.000
0.000, 0.000, 7.924, 1.000, 1.000
0.000, 0.000, 7.996, 1.000, 1.000
0.000, 0.000, 8.044, 1.000, 1.000
0.000, 0.000, 8.104, 1.000, 1.000
