0.668, 0.694, 0.693, 0.844, 0.094, 0.000
0.619, 0.695, 0.692, 1.000, 0.000
0.564, 0.696, 0.691, 1.000, 0.000
0.513, 0.698, 0.690, 1.000, 0.016
0.434, 0.704, 0.685, 1.000, 0.000
0.359, 0.716, 0.677, 1.000, 0.000
0.274, 0.731, 0.671, 1.000, 0.000
0.196, 0.734, 0.687, 1.000, 0.000
0.136, 0.699, 0.730, 1.000, 0.406
0.091, 0.643, 0.783, 1.000, 0.969
0.067, 0.624, 0.797, 1.000, 1.000
0.048, 0.625, 0.785, 1.000, 1.000
0.028, 0.640, 0.762, 1.000, 1.000
0.017, 0.651, 0.748, 1.000, 1.000
0.015, 0.672, 0.737, 1.000, 1.000
0.012, 0.715, 0.710, 1.000, 0.000
0.012, 0.767, 0.666, 1.000, 0.000
0.017, 0.853, 0.621, 1.000, 0.000
0.044, 0.991, 0.582, 1.000, 0.000
0.111, 1.133, 0.593, 1.000, 0.000
0.268, 1.188, 0.690, 1.000, 0.000
0.412, 0.913, 0.896, 1.000, 0.031
0.556, 0.656, 1.059, 0.953, 0.688
0.619, 0.592, 1.124, 0.766, 0.844
0.535, 0.597, 1.208, 0.891, 0.812
0.579, 0.538, 1.279, 0.766, 0.906
0.575, 0.421, 1.362, 0.781, 1.000
0.533, 0.421, 1.407, 0.844, 1.000
0.473, 0.421, 1.604, 0.875, 0.969
0.480, 0.348, 1.666, 0.875, 0.969
0.433, 0.288, 1.804, 0.844, 1.000
0.350, 0.247, 1.855, 0.906, 1.000
0.336, 0.244, 1.920, 0.891, 1.000
0.188, 0.208, 2.243, 1.000, 1.000
0.220, 0.138, 2.370, 0.969, 1.000
0.185, 0.156, 2.397, 0.984, 1.000
0.127, 0.096, 2.732, 1.000, 1.000
0.095, 0.091, 2.917, 1.000, 1.000
0.104, 0.081, 2.999, 0.969, 1.000
0.073, 0.061, 3.127, 1.000, 1.000
0.053, 0.050, 3.391, 1.000, 1.000
0.054, 0.047, 3.417, 1.000, 1.000
0.042, 0.040, 3.668, 1.000, 1.000
0.058, 0.036, 3.619, 0.969, 1.000
0.015, 0.034, 3.733, 1.000, 1.000
0.035, 0.029, 3.859, 1.000, 1.000
0.026, 0.031, 4.084, 1.000, 1.000
0.019, 0.022, 4.125, 1.000, 1.000
0.015, 0.019, 4.303, 1.000, 1.000
0.006, 0.016, 4.409, 1.000, 1.000
0.008, 0.016, 4.447, 1.000, 1.000
0.008, 0.016, 4.651, 1.000, 1.000
0.008, 0.014, 4.788, 1.000, 1.000
0.011, 0.011, 4.781, 1.000, 1.000
0.007, 0.012, 4.823, 1.000, 1.000
0.011, 0.012, 4.952, 1.000, 1.000
0.007, 0.008, 4.926, 1.000, 1.000
0.020, 0.011, 4.935, 0.984, 1.000
0.018, 0.011, 5.021, 0.984, 1.000
0.010, 0.009, 4.943, 1.000, 1.000
0.016, 0.014, 5.049, 0.984, 1.000
0.008, 0.008, 5.104, 1.000, 1.000
0.006, 0.008, 5.242, 1.000, 1.000
0.010, 0.008, 5.079, 1.000, 1.000
