0.681, 0.694, 0.692, 98.261
0.260, 0.182, 1.948, 98.373
0.053, 0.039, 3.401, 96.083
0.011, 0.017, 4.281, 107.237
0.009, 0.009, 4.835, 97.854
0.005, 0.006, 5.297, 98.200
0.006, 0.004, 5.706, 100.316
0.003, 0.003, 5.932, 99.633
0.001, 0.002, 6.372, 103.070
0.002, 0.002, 6.463, 101.497
0.002, 0.001, 6.917, 102.736
0.001, 0.001, 7.096, 99.089
0.002, 0.001, 7.226, 98.097
0.000, 0.001, 7.410, 97.023
0.001, 0.001, 7.565, 99.838
0.001, 0.000, 7.929, 99.204
0.000, 0.000, 8.019, 98.851
0.001, 0.000, 8.150, 98.221
0.000, 0.000, 8.334, 100.121
0.000, 0.000, 8.354, 97.619
0.000, 0.000, 8.224, 100.465
0.000, 0.000, 8.415, 104.367
0.000, 0.000, 8.526, 95.568
0.000, 0.000, 8.776, 103.213
0.000, 0.000, 8.754, 101.517
0.006, 0.000, 8.380, 101.763
0.000, 0.000, 8.896, 102.993
0.000, 0.000, 8.979, 97.321
0.000, 0.000, 8.938, 101.220
0.000, 0.000, 8.828, 99.346
0.000, 0.000, 9.341, 99.113
0.000, 0.000, 9.647, 100.153
0.000, 0.000, 9.362, 101.074
0.000, 0.000, 9.561, 104.878
0.000, 0.000, 9.422, 98.388
0.004, 0.000, 9.150, 99.024
0.000, 0.000, 9.724, 99.113
0.000, 0.000, 9.787, 95.284
0.000, 0.000, 10.038, 99.807
0.000, 0.000, 10.172, 99.652
0.000, 0.000, 9.321, 100.602
0.000, 0.001, 9.082, 100.662
0.000, 0.000, 10.157, 96.225
0.000, 0.000, 10.357, 102.136
0.000, 0.000, 10.139, 100.236
0.000, 0.000, 10.511, 97.289
0.000, 0.000, 10.307, 102.354
0.000, 0.000, 10.509, 98.953
0.000, 0.000, 10.625, 95.568
0.000, 0.000, 10.408, 103.846
0.000, 0.000, 10.641, 99.234
0.000, 0.000, 10.788, 102.219
0.000, 0.000, 10.761, 101.640
0.000, 0.000, 10.431, 101.157
0.000, 0.000, 10.655, 102.705
0.000, 0.000, 11.099, 95.981
0.000, 0.000, 10.819, 101.667
0.000, 0.000, 11.261, 98.599
0.048, 2.543, 19.243, 99.479
0.529, 1.060, 1.401, 80.887
0.484, 0.424, 1.582, 43.740
0.698, 0.693, 1.147, 46.587
0.925, 0.953, 0.707, 31.720
0.778, 0.757, 0.794, 27.771
0.705, 0.612, 0.983, 32.899
0.676, 0.631, 0.909, 37.074
0.658, 0.780, 0.718, 38.122
0.631, 0.773, 0.719, 51.387
0.672, 0.706, 0.764, 33.686
0.725, 0.810, 0.670, 43.088
0.730, 0.722, 0.724, 25.707
0.695, 0.733, 0.717, 32.207
0.655, 0.761, 0.697, 19.525
0.664, 0.685, 0.759, 17.791
0.696, 0.718, 0.728, 23.387
0.694, 0.710, 0.735, 21.143
0.679, 0.684, 0.751, 21.539
0.669, 0.721, 0.708, 18.669
0.677, 0.670, 0.768, 16.046
0.723, 0.706, 0.759, 18.356
0.685, 0.719, 0.741, 16.722
0.634, 0.728, 0.699, 17.057
0.630, 0.693, 0.734, 21.671
0.646, 0.694, 0.727, 20.657
0.684, 0.683, 0.739, 20.809
0.696, 0.699, 0.722, 21.255
0.703, 0.668, 0.761, 20.512
0.730, 0.677, 0.749, 18.417
0.731, 0.642, 0.812, 27.928
0.717, 0.686, 0.784, 20.627
0.655, 0.827, 0.646, 17.491
