0.721, 0.695, 0.692
0.637, 0.699, 0.688
0.572, 0.706, 0.680
0.511, 0.719, 0.668
0.457, 0.740, 0.650
0.400, 0.772, 0.626
0.362, 0.813, 0.598
0.330, 0.859, 0.575
0.312, 0.894, 0.564
0.310, 0.898, 0.574
0.313, 0.869, 0.610
0.331, 0.813, 0.664
0.346, 0.738, 0.738
0.349, 0.655, 0.828
0.364, 0.586, 0.923
0.375, 0.515, 1.017
0.371, 0.456, 1.116
0.363, 0.404, 1.233
0.371, 0.355, 1.335
0.336, 0.314, 1.434
0.317, 0.281, 1.540
0.324, 0.253, 1.632
0.284, 0.227, 1.723
0.298, 0.215, 1.798
0.247, 0.189, 1.885
0.224, 0.173, 1.968
0.226, 0.162, 2.037
0.186, 0.146, 2.141
0.199, 0.132, 2.190
0.177, 0.128, 2.278
0.168, 0.118, 2.344
0.142, 0.107, 2.415
0.131, 0.097, 2.505
0.124, 0.092, 2.576
0.113, 0.086, 2.641
0.105, 0.078, 2.719
0.100, 0.074, 2.779
0.090, 0.068, 2.851
0.107, 0.066, 2.879
0.095, 0.064, 2.907
0.080, 0.058, 2.989
0.067, 0.056, 3.066
0.068, 0.053, 3.106
0.068, 0.048, 3.168
0.057, 0.046, 3.220
0.059, 0.044, 3.294
0.070, 0.042, 3.316
0.069, 0.041, 3.365
0.043, 0.038, 3.400
0.038, 0.037, 3.498
0.052, 0.036, 3.488
0.057, 0.034, 3.540
0.036, 0.032, 3.591
0.052, 0.032, 3.605
0.030, 0.030, 3.675
0.038, 0.029, 3.706
0.036, 0.027, 3.768
0.047, 0.027, 3.782
0.037, 0.026, 3.797
0.032, 0.025, 3.832
0.033, 0.024, 3.881
0.024, 0.023, 3.919
0.025, 0.022, 3.982
0.038, 0.021, 4.010
0.026, 0.021, 4.050
0.035, 0.020, 4.034
0.031, 0.020, 4.046
0.017, 0.019, 4.128
0.022, 0.018, 4.154
0.027, 0.018, 4.176
0.014, 0.017, 4.219
0.024, 0.016, 4.279
0.019, 0.016, 4.322
0.015, 0.015, 4.364
0.017, 0.015, 4.381
0.030, 0.015, 4.374
0.018, 0.014, 4.414
0.013, 0.014, 4.450
0.019, 0.013, 4.492
0.018, 0.013, 4.524
0.015, 0.012, 4.545
0.011, 0.012, 4.600
