0.721, 0.695, 0.692, 96.837
0.284, 0.227, 1.723, 100.384
0.057, 0.046, 3.220, 96.623
0.031, 0.020, 4.046, 103.455
0.017, 0.010, 4.698, 99.890
0.010, 0.007, 5.082, 98.882
0.010, 0.004, 5.541, 94.676
0.006, 0.003, 5.944, 98.921
0.004, 0.002, 6.152, 100.055
0.001, 0.003, 6.267, 99.271
0.010, 0.003, 6.307, 99.106
0.001, 0.001, 6.996, 100.565
0.003, 0.002, 6.835, 96.204
0.001, 0.001, 7.244, 103.512
0.002, 0.001, 7.429, 101.219
0.000, 0.001, 7.777, 100.471
0.001, 0.001, 7.845, 99.786
0.001, 0.000, 8.009, 97.231
0.002, 0.001, 7.859, 100.251
0.002, 0.001, 8.172, 101.120
0.000, 0.001, 8.051, 102.030
0.000, 0.000, 8.449, 97.685
0.001, 0.000, 8.214, 98.732
0.000, 0.000, 8.572, 98.275
0.000, 0.000, 8.824, 105.544
0.000, 0.000, 8.830, 98.429
0.000, 0.000, 9.084, 100.075
0.000, 0.000, 9.097, 97.487
0.000, 0.000, 8.845, 95.332
0.000, 0.000, 9.120, 99.595
0.000, 0.000, 9.181, 102.466
0.000, 0.000, 9.542, 98.659
0.000, 0.001, 8.386, 98.687
0.000, 0.000, 9.488, 100.926
0.000, 0.000, 9.586, 95.479
0.000, 0.000, 9.682, 99.600
0.000, 0.000, 9.499, 100.873
0.000, 0.000, 9.853, 98.246
0.000, 0.000, 9.916, 100.839
0.000, 0.000, 8.977, 99.531
0.000, 0.000, 10.009, 98.187
0.000, 0.000, 9.712, 101.434
0.000, 0.000, 9.834, 96.189
0.000, 0.000, 10.147, 100.672
0.000, 0.000, 10.202, 101.799
0.000, 0.000, 10.324, 97.151
0.000, 0.000, 9.977, 99.545
0.000, 0.000, 10.536, 100.822
0.000, 0.000, 10.382, 101.544
0.000, 0.000, 10.388, 98.686
0.000, 0.000, 10.548, 102.682
0.000, 0.000, 10.741, 99.476
0.000, 0.000, 10.905, 100.528
0.000, 0.000, 10.725, 101.876
0.000, 0.000, 10.724, 97.514
0.000, 0.000, 10.207, 101.288
0.000, 0.000, 10.553, 98.064
0.000, 0.000, 10.836, 101.152
0.000, 0.000, 10.910, 100.131
0.041, 0.190, 1.987, 103.652
0.380, 0.543, 2.472, 90.122
0.532, 0.670, 1.602, 29.666
0.687, 0.633, 1.261, 34.078
0.979, 0.949, 0.768, 27.202
0.676, 0.685, 0.984, 30.111
0.788, 0.760, 0.808, 47.930
0.597, 0.577, 1.032, 33.847
0.774, 0.721, 0.833, 24.349
0.711, 0.675, 0.855, 28.965
0.651, 0.649, 0.875, 34.131
0.701, 0.693, 0.805, 28.371
0.669, 0.690, 0.852, 27.950
0.643, 0.668, 0.875, 26.970
0.672, 0.715, 0.839, 28.563
0.676, 0.642, 0.860, 23.296
0.709, 0.694, 0.784, 24.690
0.682, 0.694, 0.809, 28.634
0.700, 0.677, 0.791, 26.208
0.672, 0.731, 0.745, 18.032
0.681, 0.697, 0.793, 19.545
