0.681, 0.694, 0.692
0.600, 0.698, 0.689
0.532, 0.705, 0.682
0.470, 0.716, 0.671
0.413, 0.735, 0.655
0.361, 0.764, 0.631
0.316, 0.807, 0.602
0.282, 0.860, 0.570
0.262, 0.912, 0.545
0.249, 0.937, 0.541
0.254, 0.935, 0.563
0.267, 0.885, 0.606
0.283, 0.807, 0.683
0.300, 0.719, 0.778
0.318, 0.622, 0.892
0.337, 0.532, 1.025
0.324, 0.450, 1.184
0.320, 0.372, 1.324
0.331, 0.317, 1.479
0.326, 0.271, 1.609
0.313, 0.232, 1.733
0.278, 0.204, 1.856
0.260, 0.182, 1.948
0.272, 0.172, 2.000
0.216, 0.154, 2.115
0.213, 0.143, 2.215
0.181, 0.126, 2.301
0.181, 0.117, 2.373
0.160, 0.107, 2.447
0.133, 0.096, 2.529
0.141, 0.091, 2.608
0.115, 0.084, 2.689
0.132, 0.080, 2.757
0.098, 0.074, 2.821
0.102, 0.066, 2.894
0.084, 0.061, 2.953
0.093, 0.058, 3.010
0.087, 0.056, 3.042
0.083, 0.055, 3.117
0.108, 0.055, 3.101
0.061, 0.052, 3.166
0.056, 0.045, 3.250
0.055, 0.044, 3.319
0.069, 0.040, 3.373
0.053, 0.039, 3.401
0.050, 0.037, 3.466
0.057, 0.035, 3.487
0.055, 0.033, 3.518
0.050, 0.034, 3.582
0.038, 0.032, 3.615
0.053, 0.031, 3.653
0.043, 0.029, 3.696
0.035, 0.027, 3.751
0.026, 0.026, 3.803
0.038, 0.025, 3.853
0.045, 0.025, 3.878
0.041, 0.025, 3.884
0.041, 0.024, 3.902
0.042, 0.024, 3.894
0.022, 0.022, 3.940
0.030, 0.021, 4.025
0.034, 0.021, 4.025
0.039, 0.022, 4.043
0.029, 0.021, 4.096
0.017, 0.019, 4.138
0.029, 0.019, 4.168
0.011, 0.017, 4.281
0.030, 0.016, 4.236
0.019, 0.017, 4.287
0.026, 0.015, 4.352
0.016, 0.014, 4.381
0.021, 0.014, 4.435
0.012, 0.013, 4.447
0.019, 0.013, 4.488
0.015, 0.012, 4.532
0.028, 0.013, 4.474
0.011, 0.012, 4.559
0.022, 0.012, 4.572
0.020, 0.012, 4.573
0.024, 0.012, 4.595
0.019, 0.012, 4.592
0.016, 0.012, 4.629
0.018, 0.011, 4.657
0.021, 0.012, 4.597
0.014, 0.011, 4.683
0.012, 0.010, 4.715
0.010, 0.010, 4.743
0.013, 0.010, 4.793
0.009, 0.009, 4.835
0.018, 0.010, 4.807
0.010, 0.009, 4.842
0.012, 0.009, 4.878
0.010, 0.009, 4.910
0.011, 0.008, 4.915
0.018, 0.009, 4.912
0.012, 0.009, 4.878
0.007, 0.009, 4.956
0.012, 0.008, 5.009
0.010, 0.007, 5.040
0.008, 0.007, 5.062
0.024, 0.008, 4.942
0.004, 0.008, 5.101
0.013, 0.007, 5.067
0.003, 0.007, 5.167
0.011, 0.006, 5.147
0.007, 0.007, 5.173
0.008, 0.006, 5.234
0.006, 0.006, 5.263
0.004, 0.006, 5.302
0.014, 0.006, 5.289
0.005, 0.006, 5.297
0.006, 0.006, 5.381
0.004, 0.005, 5.401
0.010, 0.006, 5.377
0.006, 0.006, 5.373
0.012, 0.006, 5.372
0.010, 0.006, 5.310
0.008, 0.006, 5.376
0.007, 0.005, 5.424
0.004, 0.005, 5.490
0.008, 0.005, 5.476
0.011, 0.006, 5.419
0.012, 0.006, 5.439
0.005, 0.005, 5.486
0.007, 0.005, 5.501
0.006, 0.005, 5.487
0.002, 0.005, 5.516
0.002, 0.004, 5.690
0.008, 0.004, 5.657
0.005, 0.004, 5.640
0.002, 0.004, 5.696
0.004, 0.004, 5.729
0.006, 0.004, 5.706
0.006, 0.004, 5.748
0.006, 0.004, 5.727
0.008, 0.005, 5.671
0.003, 0.004, 5.792
0.002, 0.004, 5.884
0.007, 0.003, 5.900
0.001, 0.003, 5.943
0.006, 0.003, 5.934
0.004, 0.004, 5.954
0.003, 0.003, 5.901
0.006, 0.003, 5.896
0.004, 0.003, 5.915
0.005, 0.004, 5.875
0.010, 0.004, 5.707
0.002, 0.004, 5.879
0.012, 0.004, 5.858
0.002, 0.004, 5.915
0.002, 0.003, 6.028
0.002, 0.003, 6.117
0.010, 0.003, 5.975
0.006, 0.004, 5.887
0.003, 0.003, 5.932
0.004, 0.003, 6.008
0.001, 0.003, 6.118
0.001, 0.003, 6.233
0.002, 0.002, 6.308
0.004, 0.002, 6.300
0.003, 0.003, 6.242
0.001, 0.002, 6.314
0.006, 0.002, 6.238
0.004, 0.003, 6.198
0.003, 0.003, 6.202
0.001, 0.002, 6.319
0.021, 0.004, 5.751
0.005, 0.006, 5.871
0.001, 0.004, 6.166
0.005, 0.003, 6.189
0.002, 0.002, 6.241
0.001, 0.002, 6.373
0.002, 0.002, 6.381
0.006, 0.003, 6.266
0.003, 0.002, 6.272
0.004, 0.002, 6.225
0.001, 0.002, 6.372
0.002, 0.002, 6.342
0.009, 0.002, 6.226
0.005, 0.003, 6.203
0.003, 0.003, 6.245
0.001, 0.003, 6.379
0.000, 0.002, 6.493
0.003, 0.002, 6.491
0.001, 0.002, 6.528
0.001, 0.002, 6.611
0.005, 0.002, 6.502
0.002, 0.002, 6.578
0.001, 0.002, 6.630
0.002, 0.002, 6.649
0.002, 0.002, 6.621
0.003, 0.002, 6.565
0.003, 0.002, 6.605
0.003, 0.002, 6.490
0.001, 0.002, 6.581
0.005, 0.002, 6.528
0.002, 0.002, 6.556
0.005, 0.002, 6.422
0.002, 0.002, 6.463
0.006, 0.003, 6.381
0.001, 0.002, 6.447
0.001, 0.002, 6.577
0.003, 0.002, 6.606
0.001, 0.002, 6.668
0.000, 0.002, 6.803
0.006, 0.002, 6.576
0.003, 0.002, 6.522
0.001, 0.002, 6.670
0.002, 0.002, 6.679
0.002, 0.002, 6.732
0.000, 0.002, 6.881
0.001, 0.001, 6.874
0.002, 0.001, 6.917
0.004, 0.001, 6.900
0.001, 0.001, 6.885
0.001, 0.001, 6.918
0.001, 0.001, 6.975
0.001, 0.001, 7.058
0.005, 0.001, 6.970
0.001, 0.001, 6.923
0.002, 0.001, 6.917
0.001, 0.001, 6.917
0.002, 0.001, 6.934
0.001, 0.001, 6.995
0.002, 0.001, 6.932
0.001, 0.001, 6.876
0.006, 0.002, 6.735
0.000, 0.002, 6.816
0.001, 0.002, 6.863
0.003, 0.001, 6.961
0.001, 0.001, 6.937
0.003, 0.002, 6.890
0.012, 0.002, 6.483
0.001, 0.002, 6.574
0.006, 0.002, 6.564
0.001, 0.002, 6.737
0.002, 0.002, 6.793
0.000, 0.002, 6.920
0.005, 0.002, 6.660
0.000, 0.002, 6.815
0.001, 0.002, 6.907
0.001, 0.001, 7.017
0.001, 0.001, 7.096
0.002, 0.001, 7.080
0.000, 0.001, 7.215
0.002, 0.001, 7.138
0.001, 0.001, 7.103
0.001, 0.001, 7.143
0.001, 0.001, 7.196
